cluster,text
0,"the wanderer had been in his house, he had been far from silent, for he joked at his own suffering and kept the housekeeper laughing at his whimsical remarks; while he won her heart by the extraordinary cleanliness of his threadbare clothes, and the perfect order of his scantily-furnished knapsack. It had the exactness of"
0,"roused sleepers returned the salutation, and greeted the new comer, apologizing for depriving him of his comfortable bed. Rufus replied civilly, with a frank, open manner that won their respect, and, when they had hastily dressed, led them to the pump, where he placed a tin basin, soap and towels, at their disposal. After ablutions,"
0,"the Elder entered his front door at noon, his first glance was at the rack in the corner of the hall, where, on the left-hand hook, Peter Junior's coat and hat had hung when he was at home, ever since he was a boy. They were not there. The Elder lifted his bushy brows one"
0,"majestic step repaired to his boudoir, where he was seen for a long time, walking back and forth in deep thought and with a wrinkled brow. Then, stepping to his writing-table, he sketched the plan of this inordinately great dinner, at first slowly and thoughtfully, and then with constantly more and more fire and enthusiasm,"
0,"out upon her trim flower beds where bloomed tulip and crocus in April festival. ""My silver bells and cockle shells grow very well,"" she answered, in the spirit of the rhyme, ""but""--and her delicate old face quivered into an anxious quickening of life--""but, Oh, Peter! I fear my pretty maid grows too fast for her"
0,"normal sounds practically obliterated. The peck-pecking was not for him. An unwelcome odor may keep one awake, but the senator's berth was fragrant of fresh mattresses and new linen, the wash-stand of jasmine soap, and the room at large of its immaculate zinc-white walls and doors and their gilt trimmings. Nor could the cause be"
0,"washed, changed into more civilised clothes, then strolled out cheerfully on to the Boulevards, and had his morning coffee at a little table in the open, with a budget of French papers to look through, and the spectacle of the passing world in the sunshine for his entertainment. He sat on for a long while"
0,"each man dried himself as best he could. This accident threw Danton into a fit of gloominess from which nothing seemed to arouse him. He was careless of his duty, and equally careless to the reprimands that followed. This went on for two days, during which the maid seemed at one moment to avoid him,"
0,"suddenly to go ""clank"" at all hours, in a terrible way. And the lady ancestress of the seventeenth century, who carried her head in a plate before her, used to stump upstairs and downstairs, from twelve o'clock to one, when she was punctually relieved from duty by the wicked old ancestor of the sixteenth century,"
0,"came in with linen and a large tub full of water, which he placed before me; my shoes and stockings were taken off, and my feet washed. A very decent-looking woman, followed by a servant girl, came in a few minutes after, and curtsying very low, she proceeded to make my bed. At that moment"
1,"""Upon my word, Luce, you are equal to a wholesale grocery. Very well. Come, Basil, we'll tap the maples; let the captain go with Luce."" The boys, separating into pairs, walked off in different directions. Lucien and his companion soon lighted upon the object of their search in the same wet bottom where they had"
1,"morning. Consequently, as soon as Mrs. Dickson retired, all but these two rolled themselves up in their blankets near the camp-fire and were soon sound asleep. Thure and Dickson each picked up his rifle and took his station on opposite sides of the camp and began his long silent vigil. The skies were overcast with"
1,"very irksome, and as nothing further happened, the watch was discontinued. The men worked hard by day erecting their rude log cabins, so they could ill afford to sit up all night. A feeling of security gradually pervaded the camp, and all became cheerful and hopeful. At a meeting held one night they decided upon"
1,"retraced their steps and reached camp just as the complete darkness, that would have rendered their farther progress impossible, shut in. No one was more loved in that camp than Glen, and no loss from the party could have been more keenly felt. It was with heavy hearts that they sought their blankets that night;"
1,"he would make for the river to guide him, as night approached. All were to return to the camp at nightfall whether successful or not. After several hours spent in traversing the woods and openings, Norman came back. He had been unable to find any traces of their missing companion. The others had got back"
1,"whistling blithely. The summer was intensely hot. As the dog-days waxed, Ellis grew ever more and more morose. His sharp bursts of temper were made tolerable only by the swift justice of the amend. Late in September he came down to the office one morning, pale and shaken. The boys had been sticking type for"
1,"strength and holiness. According to Bonald, your father was right in his homily. Farewell, my dear fancy, my friend, my wild other self. XIX. LOUISE DE CHAULIEU TO MME. DE L'ESTORADE Well, my Renee, you are a love of a woman, and I quite agree now that we can only be virtuous by cheating. Will"
1,"told Bluff when the other looked a little incredulous over something or other, ""if you don't keep track of your direction? I feel sure that as the crow flies Cabin Point lies over there, right beyond that tree with the feathery crown."" About three in the afternoon all of them owned up to feeling a"
1,"even recognised in one of them the hideous features of the lad whom Cabot had named Arsenic. ""What fools we have been,"" he thought, bitterly. ""We might have known that he would come back with the first band of his friends that he ran across. And to make sure that they would find us we"
1,"Euergetes. ""Let us at once make further choice among the abundance of subjects offered to us, but, like Lysias, I would warn you against those that are too well-known."" ""There are no doubt things commonplace to the eye as well as to the ear,"" said Cleopatra. ""But what is recognized as good is commonly regarded"
2,"like your mother, you will find yourself abandoned in a deserted room, where you will weep like Calypso on the departure of Ulysses, and at an age when there is no hope of Telemachus--"" she added, repeating a jest of Madame Marneffe's. ""We have to regard the people in the world as tools which we"
2,"him, flushing a little, as though she found her brother's formal politeness lacking in hospitality. She was struck then, as she had not been yet during her visit, by a curious lassitude in her old friend's face. It affected her with an unconscious pity, causing her to second her brother's somewhat chilly invitation more cordially."
2,"intelligible, but which Stevens construed into assent, and the two set forth together--the good old matron giving a glance of gratitude to the benevolent young student which her son did not fail to note, while, at the same time, a sentence which evidently conveyed some motherly rebuke, was addressed to his already-irritated ears. CHAPTER XI."
2,"am to be disappointed i' the end, 'tisn't for you to disappoint me beforehand, telling me it is not to be a child, but only a girl."" CHAPTER XLIX MARGARET BRANDT had always held herself apart from Sevenbergen; and her reserve had passed for pride; this had come to her ears, and she knew many"
